number_of_tag_barcode,number_of_pcr_index,input_cell_number,tag_sort_cell_number,pcr_sort_cell_number,collision_rate,total_nuclei,recovered_barcode,cluster_per_nucleus
384,209,24000,80,36,0.08265241986172218,6364,6097,65606
384,225,24000,60,20,0.0775716694772344,6523,6266,63837
384,241,24000,47,31,0.08558558558558559,7326,7006,57094
384,257,24000,61,42,0.08638642499035866,7779,7434,53807
384,273,24000,79,21,0.08072727272727273,8250,7911,50563
384,289,24000,60,7,0.08640421149004349,8738,8355,47876
384,305,24000,74,22,0.07825988187187642,8804,8457,47298
384,321,24000,45,35,0.0863022113022113,9768,9337,42840
384,337,24000,67,32,0.0811186037286791,10084,9667,41378
384,353,24000,69,33,0.08220906532078036,10303,9871,40523
384,369,24000,61,33,0.07675378266850069,10905,10481,38164
384,1,28000,72,21,0.0,21,21,19047619
384,17,28000,90,24,0.10586011342155009,529,501,798403
384,33,28000,70,45,0.09990300678952474,1031,978,408998
384,49,28000,62,24,0.08967971530249111,1405,1341,298285
384,65,28000,65,14,0.0593311758360302,1854,1797,222593
384,81,28000,77,17,0.10445912469033856,2422,2293,174444
384,97,28000,76,36,0.0893371757925072,3123,2981,134183
384,113,28000,64,32,0.08541973490427099,3395,3248,123153
384,129,28000,81,23,0.08255298176441597,4058,3888,102881
384,145,28000,42,25,0.09751986515771731,4153,3947,101343
384,161,28000,80,15,0.08449531737773153,4805,4597,87013
384,177,28000,64,29,0.08523047977422389,5315,5082,78709
384,193,28000,78,38,0.09235668789808917,5652,5388,74239
384,209,28000,56,29,0.07282051282051281,5850,5631,71035
384,225,28000,75,32,0.08549734244495065,6585,6297,63522
384,241,28000,68,37,0.08069444444444444,7200,6904,57937
384,257,28000,70,21,0.0827595001275185,7842,7514,53234
384,273,28000,88,20,0.07949444838176234,8466,8125,49231
384,289,28000,79,41,0.08157064391726072,8557,8204,48757
384,305,28000,79,45,0.08594669806272075,9343,8936,44763
384,321,28000,75,38,0.07803974055389684,9713,9329,42877
384,337,28000,62,31,0.0805430788076766,9796,9397,42567
384,353,28000,73,26,0.08281264571481861,10723,10272,38941
384,369,28000,96,32,0.07590200445434299,11225,10790,37071
384,1,32000,79,43,0.046511627906976744,43,42,9523810
384,17,32000,73,29,0.07874015748031496,508,488,819672
384,33,32000,84,26,0.0673469387755102,980,947,422386
384,49,32000,81,24,0.07753623188405798,1380,1325,301887
384,65,32000,75,28,0.0938818565400844,1896,1806,221484
384,81,32000,93,40,0.0885547201336675,2394,2286,174978
384,97,32000,69,12,0.08286516853932584,2848,2729,146574
384,113,32000,110,44,0.08660984327742645,3637,3477,115042
384,129,32000,92,10,0.08277634961439588,3890,3727,107325
384,145,32000,102,26,0.08411875589066918,4244,4063,98449
384,161,32000,100,36,0.08080194410692589,4938,4737,84442
384,177,32000,84,26,0.08330301927973809,5498,5264,75988
384,193,32000,124,21,0.0781871648503719,5781,5551,72059
384,209,32000,60,38,0.08260245574868443,6271,6008,66578
384,225,32000,83,54,0.07741267021906453,6756,6493,61605
384,241,32000,82,31,0.0896386222473179,7084,6762,59154
384,257,32000,76,2,0.08734543541173376,7602,7263,55074
384,273,32000,90,36,0.0740830701967452,8234,7923,50486
384,289,32000,80,36,0.08646574105429507,8859,8470,47226
384,305,32000,64,31,0.08604104318084652,9356,8948,44703
384,321,32000,74,26,0.0888455217748562,9736,9295,43034
384,337,32000,105,42,0.0826645264847512,9968,9549,41889
384,353,32000,78,21,0.08954121665282008,10833,10336,38700
384,369,32000,78,37,0.0817325117796303,11036,10579,37811
384,1,36000,97,22,0.0,22,22,18181818
384,17,36000,107,61,0.09464285714285714,560,533,750469
384,33,36000,122,28,0.08707865168539326,1068,1021,391773
384,49,36000,112,43,0.08333333333333333,1452,1391,287563
384,65,36000,137,25,0.08799222168206125,2057,1966,203459
384,81,36000,94,35,0.08822287885183622,2369,2261,176913
