number_of_tag_barcode,number_of_pcr_index,input_cell_number,tag_sort_cell_number,pcr_sort_cell_number,collision_rate,total_nuclei,recovered_barcode,cluster_per_nucleus
384,273,88000,212,26,0.08240030192477041,7949,7616,52521
384,289,88000,261,41,0.08182844243792325,8860,8493,47098
384,305,88000,139,33,0.07797462817147857,9144,8781,45553
384,321,88000,252,32,0.08348209597815814,9523,9120,43860
384,337,88000,190,25,0.0897472854809263,10407,9935,40262
384,353,88000,236,27,0.07918860932319095,10254,9845,40630
384,369,88000,152,18,0.08925058129136111,11182,10674,37474
384,1,92000,179,39,0.20512820512820512,39,35,11428571
384,17,92000,343,28,0.11428571428571428,455,428,934579
384,33,92000,118,36,0.09404990403071017,1042,993,402820
384,49,92000,299,30,0.08817354793561931,1429,1364,293255
384,65,92000,278,29,0.09428431851489985,2047,1948,205339
384,81,92000,238,28,0.08583162217659138,2435,2329,171748
384,97,92000,269,31,0.07614742698191933,2876,2766,144613
384,113,92000,276,43,0.08663069544364509,3336,3190,125392
384,129,92000,266,33,0.08746803069053709,3910,3738,107009
384,145,92000,329,34,0.08007448789571694,4296,4123,97017
384,161,92000,186,29,0.08720682302771855,4690,4482,89246
384,177,92000,256,36,0.08864844343204252,5268,5030,79523
384,193,92000,273,20,0.08378615249780894,5705,5463,73220
384,209,92000,248,45,0.08454619787408013,6115,5853,68341
384,225,92000,362,31,0.08302212008043666,6962,6668,59988
384,241,92000,188,24,0.08390457910611461,7294,6984,57274
384,257,92000,271,25,0.08247286205983585,7554,7237,55272
384,273,92000,219,55,0.08331332533013205,8330,7978,50138
384,289,92000,235,28,0.0829673590504451,8425,8072,49554
384,305,92000,221,29,0.0868557554353824,9061,8661,46184
384,321,92000,162,19,0.08251821019771072,9610,9205,43455
384,337,92000,243,26,0.08095333869670153,9944,9535,41951
384,353,92000,247,20,0.08332506695764309,10081,9653,41438
384,369,92000,230,31,0.08222763787345429,11079,10619,37668
384,1,96000,256,38,0.10526315789473684,38,36,11111111
384,17,96000,212,20,0.10476190476190476,525,496,806452
384,33,96000,260,36,0.08095238095238096,840,806,496278
384,49,96000,305,19,0.07850330154071901,1363,1309,305577
384,65,96000,332,28,0.0877922077922078,1925,1839,217510
384,81,96000,171,47,0.06976744186046512,2451,2365,169133
384,97,96000,378,20,0.07496513249651325,2868,2758,145033
384,113,96000,291,37,0.08076923076923077,3380,3242,123381
384,129,96000,248,23,0.09297625063163213,3958,3771,106073
384,145,96000,253,32,0.07904761904761905,4200,4032,99206
384,161,96000,253,27,0.07933501683501684,4752,4562,87681
384,177,96000,323,25,0.07882506042015244,5379,5163,77474
384,193,96000,247,29,0.08854883081155433,5816,5554,72020
384,209,96000,203,41,0.08866045615162223,6226,5945,67283
384,225,96000,266,44,0.0818593772840228,6841,6556,61013
384,241,96000,245,27,0.07988708539167255,7085,6800,58824
384,257,96000,357,33,0.08747013538624901,7534,7198,55571
384,273,96000,238,2,0.07576505429417571,8104,7792,51335
384,289,96000,299,41,0.07618510158013544,8860,8517,46965
384,305,96000,278,33,0.08062734702893748,9054,8683,46067
384,321,96000,232,43,0.08194138039710054,9519,9121,43855
384,337,96000,157,14,0.07866411829795796,9941,9543,41916
384,353,96000,263,30,0.08267679164689132,10535,10091,39639
384,369,96000,276,45,0.08119462964654306,10949,10497,38106
384,1,100000,275,19,0.0,19,19,21052632
384,17,100000,254,34,0.07142857142857142,420,405,987654
384,33,100000,212,10,0.07494866529774127,974,937,426894
384,49,100000,196,29,0.10134656272147413,1411,1339,298730
384,65,100000,251,25,0.10168650793650794,2016,1911,209314
384,81,100000,274,46,0.09878000787091697,2541,2413,165769
384,97,100000,206,29,0.08032675289312458,2938,2819,141894
384,113,100000,268,49,0.07838334353949786,3266,3136,127551
384,129,100000,419,21,0.07748976807639836,3665,3519,113669
384,145,100000,329,15,0.08179184310229552,4487,4302,92980
384,161,100000,293,31,0.08490761884990658,4817,4609,86787
384,177,100000,276,31,0.08442286141202839,5354,5123,78079
384,193,100000,200,27,0.07333894028595458,5945,5723,69893
384,209,100000,286,38,0.0842496765847348,6184,5919,67579
384,225,100000,173,39,0.09776617348418914,6894,6550,61069
384,241,100000,207,42,0.08559933407325195,7208,6894,58021
384,257,100000,132,37,0.08848752598752599,7696,7351,54414
384,273,100000,239,22,0.08122454018022467,8101,7770,51480
384,289,100000,307,26,0.08577217469608285,8884,8497,47075
384,305,100000,263,9,0.08875675675675676,9250,8832,45290
384,321,100000,304,41,0.08111493892890699,9579,9183,43559
384,337,100000,295,48,0.0867704280155642,10280,9825,40712
384,353,100000,236,30,0.08171168554555136,10329,9901,40400
384,369,100000,217,26,0.07972935905641401,10937,10496,38110
